Age,Attendance_Percentage,Sleep_Hours,Stress_Level,Academic_Score,Family_Support_Score,Monthly_Expense,Screen_Time_Hours,Experimentation,Academic_Performance_Decline,Social_Isolation,Financial_Issues,Physical_Mental_Health_Problems,Legal_Consequences,Relationship_Strain,Risk_Taking_Behavior,Withdrawal_Symptoms,Denial_and_Resistance_to_Treatment,Addiction_Class
25,72.0,8.0,7,68.5,6.0,18858,9.4,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes
22,63.4,5.7,2,100.0,6.0,4513,4.9,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No
28,78.6,,10,51.2,,6148,4.4,No,No,Yes,Yes,No,No,No,No,No,No,No
25,91.8,7.4,7,65.1,1.0,7041,8.6,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes
28,,5.3,9,67.1,9.0,7582,7.5,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
26,70.3,6.3,3,82.2,6.0,7283,4.2,Yes,No,Yes,,No,No,No,Yes,No,Yes,No
19,87.4,5.4,7,77.7,7.0,15114,4.0,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No
23,80.9,6.2,9,96.8,4.0,11823,8.4,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes
21,80.2,7.6,3,37.9,,20754,2.7,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
23,61.2,3.6,6,45.7,9.0,8683,1.7,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes
17,84.7,6.8,9,91.0,1.0,19979,8.3,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes
24,61.5,5.8,7,87.3,10.0,8705,5.6,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No
17,74.6,8.3,6,83.7,10.0,7387,7.4,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes
25,71.7,5.3,10,70.5,4.0,9146,3.3,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes
23,100.0,6.3,2,79.5,9.0,6180,7.4,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No
18,83.0,6.9,8,,10.0,8417,3.4,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
19,74.6,6.3,5,62.0,4.0,19527,8.0,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes
20,55.2,6.6,7,63.0,3.0,6946,9.0,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes
17,61.9,7.3,10,88.8,1.0,20344,6.8,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes
19,63.2,4.7,9,77.7,5.0,3120,6.9,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes
26,70.0,7.1,1,66.7,2.0,9932,2.4,Yes,Yes,,No,No,Yes,Yes,Yes,No,No,No
19,91.4,6.2,6,40.0,5.0,5303,5.5,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
25,68.3,6.8,3,62.4,2.0,9441,6.9,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No
18,63.9,7.8,1,42.3,1.0,3770,6.0,No,No,Yes,No,No,Yes,No,Yes,No,No,No
25,65.7,5.5,10,96.4,1.0,3949,6.0,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes
26,79.7,5.3,4,80.6,2.0,9711,4.3,Yes,Yes,Yes,No,No,No,No,No,No,No,No
28,64.9,4.1,8,74.1,5.0,8342,6.5,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No
19,,6.9,1,98.7,8.0,12858,4.3,No,Yes,,No,No,No,No,No,Yes,No,No
18,100.0,7.7,9,42.2,4.0,15829,7.6,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes
20,75.0,5.3,9,49.5,1.0,2260,4.1,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
26,65.8,5.0,4,70.0,6.0,17342,6.9,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes
18,46.2,5.0,9,55.0,6.0,18018,5.2,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes
27,53.3,7.9,3,44.3,5.0,15741,4.0,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No
26,67.3,7.1,9,97.4,9.0,16340,7.9,No,No,Yes,,No,No,Yes,No,No,No,No
18,62.9,7.3,4,84.7,5.0,19767,5.1,No,Yes,Yes,No,Yes,No,No,No,No,No,No
28,72.2,6.5,5,50.0,3.0,10849,3.0,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes
19,61.7,6.3,6,73.0,9.0,20384,7.3,No,No,Yes,No,Yes,No,No,No,No,No,No
21,56.8,6.4,1,52.8,1.0,6486,5.6,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
28,56.3,7.7,6,68.3,7.0,3310,6.9,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
23,79.1,6.8,9,68.2,8.0,21267,7.8,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No
28,73.7,7.2,2,56.3,9.0,21891,6.9,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No
25,64.3,8.8,4,92.2,5.0,8975,7.8,No,No,No,No,Yes,No,No,No,No,No,No
21,76.9,,3,37.0,8.0,12283,3.7,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
25,91.0,5.6,5,55.4,4.0,21220,6.4,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No
26,56.3,8.0,10,68.1,9.0,7070,9.6,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No
21,90.6,4.9,8,67.5,6.0,8191,7.1,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes
26,62.5,4.9,7,,10.0,2615,6.2,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
27,89.9,7.2,4,70.0,10.0,7730,7.7,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No
22,72.3,4.9,9,71.0,7.0,18370,5.0,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No
21,100.0,8.2,8,59.1,1.0,4746,4.7,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
17,68.3,7.1,4,64.0,1.0,17120,4.3,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes
27,73.5,6.9,8,63.7,1.0,9980,4.2,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes
20,71.6,6.9,3,63.2,3.0,16986,6.3,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
26,55.5,5.3,5,41.7,6.0,9736,4.8,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No
26,88.3,6.0,10,,7.0,4098,2.8,No,No,No,No,Yes,No,No,No,Yes,Yes,No
17,54.0,4.9,2,64.7,10.0,6828,6.4,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No
26,67.7,7.5,10,62.4,3.0,7420,1.4,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes
21,56.5,7.8,8,64.5,10.0,21608,4.9,No,Yes,No,No,No,No,Yes,No,No,Yes,No
26,100.0,4.5,3,79.2,3.0,5604,9.6,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes
25,79.9,,8,59.0,2.0,4471,8.0,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes
22,67.0,6.0,9,72.4,4.0,8229,8.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
23,77.2,6.5,1,60.3,7.0,7671,2.6,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
27,81.5,8.5,6,59.3,4.0,8589,6.7,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes
24,59.3,,1,83.7,9.0,8985,3.6,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
25,69.7,7.8,9,77.0,1.0,21318,5.1,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes
26,54.3,4.1,3,47.0,3.0,20349,6.9,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes
17,71.0,8.4,2,67.5,1.0,15976,3.8,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
17,60.4,3.6,1,68.4,6.0,17263,6.7,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
17,78.4,4.6,6,72.6,7.0,14874,5.8,Yes,No,Yes,,No,Yes,No,Yes,No,No,No
18,84.1,9.3,2,81.2,6.0,16778,5.5,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes
25,80.3,6.9,1,44.6,3.0,17222,4.6,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No
28,64.7,7.6,4,66.8,7.0,13256,5.8,No,No,No,No,No,No,No,No,No,No,No
28,74.5,5.4,3,61.8,5.0,9443,4.1,No,No,,No,No,Yes,No,No,No,Yes,No
26,78.4,6.3,2,,3.0,17717,10.2,No,No,No,No,Yes,No,Yes,Yes,No,No,No
27,66.9,7.7,8,53.2,2.0,18238,9.7,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
26,92.2,7.7,1,73.6,1.0,11328,3.3,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No
17,67.6,7.3,3,44.9,2.0,18277,6.6,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes
25,77.1,5.0,5,53.1,,11164,4.7,No,No,No,Yes,No,Yes,Yes,No,No,No,No
18,73.9,6.5,1,64.6,1.0,13130,5.8,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
27,65.6,3.5,2,83.8,10.0,16263,4.3,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
25,69.7,6.9,5,46.5,2.0,15416,5.8,No,Yes,No,Yes,Yes,No,No,No,No,No,No
20,74.4,4.7,1,85.6,7.0,4531,6.1,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
21,55.9,6.2,10,100.0,2.0,19954,4.9,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
26,70.6,7.0,2,63.2,,6845,2.8,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
21,60.3,6.6,3,80.0,5.0,2210,3.8,Yes,No,Yes,,Yes,Yes,No,No,Yes,No,No
22,59.1,6.1,5,61.0,,8756,4.0,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes
19,65.6,5.8,9,83.7,6.0,5565,2.6,No,Yes,No,No,No,Yes,No,No,No,Yes,No
21,83.5,7.2,7,85.5,6.0,4296,4.7,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No
27,87.3,5.7,8,46.0,2.0,6127,6.4,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
19,83.4,,6,75.9,9.0,5826,4.8,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
24,66.9,7.7,8,57.5,7.0,4910,4.4,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes
19,75.5,5.8,5,60.9,7.0,11831,8.8,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No
28,64.6,5.7,3,56.9,10.0,7003,1.0,No,Yes,No,No,No,Yes,Yes,No,No,No,No
27,55.3,5.6,7,67.9,5.0,19627,3.8,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes
26,53.4,7.8,2,80.0,9.0,4533,7.7,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No
18,57.8,8.0,4,67.4,6.0,6153,6.9,No,No,No,Yes,Yes,No,No,No,Yes,No,No
25,55.4,6.4,6,58.7,4.0,10451,4.1,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No
28,83.3,6.1,10,66.4,1.0,5713,5.8,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes
26,76.1,7.1,7,44.6,4.0,17855,6.5,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No
26,88.9,5.4,5,67.4,3.0,16065,7.4,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes
28,63.7,8.3,2,63.8,6.0,4745,7.2,Yes,No,Yes,No,No,No,Yes,No,No,No,No
25,80.6,6.5,1,45.6,4.0,14193,2.3,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
27,79.9,5.5,5,43.1,8.0,16808,3.5,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes
21,,7.2,6,39.1,10.0,10443,7.1,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No
21,72.2,5.4,10,71.6,8.0,9180,6.7,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
17,79.6,5.0,4,85.6,8.0,18597,7.0,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes
22,56.4,6.1,4,54.7,3.0,16651,6.1,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes
19,61.8,,4,59.6,1.0,12582,7.5,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes
26,68.5,8.7,6,76.9,9.0,13619,5.9,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No
19,90.0,7.5,1,76.0,7.0,9403,6.3,No,No,No,Yes,No,Yes,No,No,No,No,No
25,79.1,6.3,4,44.8,4.0,9121,6.9,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes
21,70.2,5.3,7,71.9,10.0,21737,6.3,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes
25,73.6,8.2,9,63.1,10.0,13655,6.6,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
27,90.8,5.6,2,93.6,2.0,3503,8.9,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No
18,59.8,6.7,7,85.2,2.0,15815,9.3,No,No,Yes,No,No,Yes,Yes,No,No,No,No
27,72.7,6.1,8,86.1,8.0,10347,7.7,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes
28,69.5,6.9,10,65.8,8.0,20540,7.7,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
19,72.0,6.6,5,66.1,2.0,17211,7.5,Yes,No,Yes,Yes,No,No,No,No,No,No,No
26,83.4,7.8,4,66.9,3.0,8817,5.4,No,Yes,No,No,No,No,Yes,No,No,Yes,No
20,65.4,7.7,1,62.8,6.0,9717,5.9,No,Yes,Yes,No,No,Yes,No,No,No,No,No
27,78.1,,6,72.4,10.0,6796,9.2,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes
25,68.3,4.0,7,51.9,4.0,5740,5.4,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
23,73.5,6.7,4,88.4,4.0,18024,10.1,No,No,Yes,Yes,No,Yes,No,No,No,No,No
19,75.1,5.9,7,74.9,9.0,13514,7.1,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
